Day,Pounds,Input Cals,Moving Mean,EMA,Deltas,Calories Net,total lbs gone,n,xy,x^2,Current Projected Goal Weight,,Day,PROJECTION,slope,sum x,sum y,sum xy,sum x sq
1,174.4,,,,,,-2.8,71,174.4,1,173.5783199,,1,174.3890443,-0.01095573441,2556,12340,443913.3,121836
2,176,,,,-1.6,5760,,,352,4,,,2,174.3780885,,,,,
3,177.6,,,,-1.6,5760,,,532.8,9,,,3,174.3671328,,,,,
4,174.6,,,,3,-10800,,,698.4,16,,,4,174.3561771,,,,,
5,176.6,,,,-2,7200,,,883,25,,,5,174.3452213,,,,,
6,174,,,,2.6,-9360,,,1044,36,,,6,174.3342656,,,,,
7,174,,175.3,175.3,0,0,,,1218,49,,,7,174.3233099,,,,,
8,174.4,,175.3,175.1,-0.4,1440,,,1395.2,64,,,8,174.3123541,,,,,
9,173.6,,175.0,174.7,0.8,-2880,,,1562.4,81,,,9,174.3013984,,,,,
10,173.2,,174.3,174.3,0.4,-1440,,,1732,100,,,10,174.2904427,,,,,
11,175.2,,174.4,174.6,-2,7200,,,1927.2,121,,,11,174.2794869,,,,,
12,174.4,,174.1,174.5,0.8,-2880,,,2092.8,144,,,12,174.2685312,,,,,
13,176.2,,174.4,174.9,-1.8,6480,,,2290.6,169,,,13,174.2575755,,,,,
14,174.4,,174.5,174.8,1.8,-6480,,,2441.6,196,,,14,174.2466197,,,,,
15,175,,174.6,174.9,-0.6,2160,,,2625,225,,,15,174.235664,,,,,
16,172.2,,174.4,174.2,2.8,-10080,,,2755.2,256,,,16,174.2247082,,,,,
17,175.4,,174.7,174.5,-3.2,11520,,,2981.8,289,,,17,174.2137525,,,,,
18,173.8,,174.5,174.3,1.6,-5760,,,3128.4,324,,,18,174.2027968,,,,,
19,173.4,,174.3,174.1,0.4,-1440,,,3294.6,361,,,19,174.191841,,,,,
20,173.2,,173.9,173.9,0.2,-720,,,3464,400,,,20,174.1808853,,,,,
21,172.2,,173.6,173.4,1,-3600,,,3616.2,441,,,21,174.1699296,,,,,
22,171.6,,173.1,173.0,0.6,-2160,,,3775.2,484,,,22,174.1589738,,,,,
23,171.2,,173.0,172.5,0.4,-1440,,,3937.6,529,,,23,174.1480181,,,,,
24,176,,173.1,173.4,-4.8,17280,,,4224,576,,,24,174.1370624,,,,,
25,173.6,,173.0,173.5,2.4,-8640,,,4340,625,,,25,174.1261066,,,,,
26,174.2,,173.1,173.6,-0.6,2160,,,4529.2,676,,,26,174.1151509,,,,,
27,175.8,,173.5,174.2,-1.6,5760,,,4746.6,729,,,27,174.1041952,,,,,
28,172.8,,173.6,173.8,3,-10800,,,4838.4,784,,,28,174.0932394,,,,,
29,173.2,,173.8,173.7,-0.4,1440,,,5022.8,841,,,29,174.0822837,,,,,
30,175.4,,174.4,174.1,-2.2,7920,,,5262,900,,,30,174.071328,,,,,
31,174.6,,174.2,174.2,0.8,-2880,,,5412.6,961,,,31,174.0603722,,,,,
32,173.8,,174.3,174.1,0.8,-2880,,,5561.6,1024,,,32,174.0494165,,,,,
33,173.4,,174.1,173.9,0.4,-1440,,,5722.2,1089,,,33,174.0384608,,,,,
34,173.6,,173.8,173.9,-0.2,720,,,5902.4,1156,,,34,174.027505,,,,,
35,173.4,,173.9,173.7,0.2,-720,,,6069,1225,,,35,174.0165493,,,,,
36,169.6,,173.4,172.7,3.8,-13680,,,6105.6,1296,,,36,174.0055936,,,,,
37,174.6,,173.3,173.2,-5,18000,,,6460.2,1369,,,37,173.9946378,,,,,
38,173.4,,173.1,173.2,1.2,-4320,,,6589.2,1444,,,38,173.9836821,,,,,
39,174,,173.1,173.4,-0.6,2160,,,6786,1521,,,39,173.9727264,,,,,
40,171.4,,172.9,172.9,2.6,-9360,,,6856,1600,,,40,173.9617706,,,,,
41,173,,172.8,172.9,-1.6,5760,,,7093,1681,,,41,173.9508149,,,,,
42,173,,172.7,173.0,0,0,,,7266,1764,,,42,173.9398592,,,,,
43,172.4,,173.1,172.8,0.6,-2160,,,7413.2,1849,,,43,173.9289034,,,,,
44,171.2,,172.6,172.4,1.2,-4320,,,7532.8,1936,,,44,173.9179477,,,,,
